Ç°20ÅÅÃû
1,Provide,35
2,serv2040036168,20
3,serv949192880,18
4,serv2056831558,16
5,serv393528881,14
6,serv463167249,14
7,serv822616296,14
8,serv1935170568,14
9,serv1457337543,13
10,serv947554374,13
11,serv1228560356,13
12,serv813605464,13
13,serv130956833,13
14,serv1919605636,12
15,serv1070647773,12
16,serv461528743,12
17,serv49850901,12
18,serv322664277,11
19,serv883037697,11
20,serv1504650744,11
21,serv183799811,11
22,serv1921244142,10
23,serv1985760819,10
24,serv1430302955,10
25,serv258147600,10
26,serv1046273922,9
27,serv673102492,9
28,serv1777464120,9
29,serv603670259,9
30,serv1293691178,9
31,serv1499735188,9
32,serv1503012238,9
33,serv44935345,9
34,serv1020263657,8
35,serv2124625285,8
36,serv807051364,8
37,serv119283134,8
38,serv1154212529,8
39,serv1225283306,8
40,serv530960976,8
41,serv744173231,8
42,serv324302783,7
43,serv1916328586,7
44,serv48212395,7
45,serv1506289288,7
46,serv327579833,7
47,serv1089695890,7
48,serv1084780296,7
49,serv1987399325,6
50,serv466444299,6
51,serv1780741170,6
52,serv1708031887,6
53,serv534238026,6
54,serv1435218511,6
55,serv233363609,6
56,serv1989037869,6
57,serv114367578,6
58,serv1641876704,6
59,serv1433580005,5
60,serv1367424822,5
61,serv1712947443,5
62,serv117644628,5
63,serv45549528,5
64,serv1850173403,5
65,serv397012066,5
66,serv2122986741,5
67,serv1782379676,5
68,serv881399191,5
69,serv737619131,5
70,serv808689908,5
71,serv185438317,5
72,serv2053554508,5
73,serv254870550,5
74,serv2126263791,5
75,serv1223644762,5
76,serv532599482,5
77,serv2060108608,5
78,serv1570805927,4
79,serv1638599654,4
80,serv1291438489,4
81,serv393735016,4
82,serv600393209,4
83,serv395373560,4
84,serv878122141,4
85,serv668186898,4
86,serv1574082977,4
87,serv876483597,4
88,serv1640238160,4
89,serv1016986607,4
90,serv1848534859,4
91,serv671463948,4
92,serv1088057346,4
93,serv2058470102,4
94,serv325941327,4
95,serv46573851,4
96,serv253232044,4
97,serv950831424,4
98,serv742534725,4
99,serv154306361,4
100,serv810328414,4
101,serv1779102626,4
102,serv1709670393,4
103,serv1501373694,4
104,serv1297992589,4
105,serv120921678,3
106,serv740896181,3
107,serv1990676375,3
108,serv605308765,3
109,serv1360870722,3
110,serv602031715,3
111,serv1293076995,3
112,serv1569167421,3
113,serv188715367,3
114,serv1643515210,3
115,serv674740998,3
116,serv535876532,3
117,serv39813616,3
118,serv1102597955,3
119,serv1711308937,3
120,serv1572444471,3
121,serv1364147772,3
122,serv2127902335,3
123,serv945915830,3
124,serv2129540841,3
125,serv392096510,3
126,serv1294715539,3
127,serv187076861,3
128,serv1846896353,3
129,serv116006084,3
130,serv1296354045,3
131,serv879760647,3
132,serv256509094,3
133,serv464805793,3
134,serv1851811909,3
135,serv2055193052,3
136,serv1157489579,3
137,serv1431941461,3
138,serv51489445,3
139,serv1365786278,3
140,serv1015348063,3
141,serv1917967092,3
142,serv1155851073,2
143,serv669825442,2
144,serv1436857055,2
145,serv598754665,2
146,serv739257675,2
147,serv1226921812,2
148,serv811966958,2
149,serv1159128123,1
150,serv1086418840,1
151,serv1362509228,1
152,serv1575721521,1
153,serv1018625113,1
154,Request,0
