变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
397,6,1,1,4,5,0.3131967749999999,0.3131967749999999,1.031471625,0.3131967749999999,平
807,20,4,5,11,60,1.0403614374999999,1.0403614374999999,1.0403614374999999,1.7662751874999993,平
409,6,2,0,4,19,0.6647593999999998,0.6647593999999998,1.0202564,0.6647593999999998,平
420,7,0,2,5,7,0.34490200000000004,0.34490200000000004,1.086751075,0.34490200000000004,平
119,5,1,0,4,33,0.5568466124999999,0.5568466124999999,0.9247241875000002,0.5568466124999999,平
825,12,2,1,9,25,1.1984966375000001,1.1984966375000001,1.1984966375000001,0.9570387250000001,平
49,1,0,0,1,2,0.04668354999999998,0.04668354999999998,0.8964028249999995,0.04668354999999998,平
266,5,2,0,3,3,0.19593447499999994,0.19593447499999994,0.9606363374999999,0.19593447499999994,平
403,6,2,2,2,4,0.29970431249999996,0.29970431249999996,1.0307071125,0.29970431249999996,平
112,3,0,1,2,20,0.30225420000000003,0.30225420000000003,0.9439739375000004,0.30225420000000003,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.0133781574999998,0.5447595237499999,0.49631394,0.49631394,0.47216814874999996
策略1胜于策略2:0
策略1平于策略2:10
策略1负于策略2:0
