变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
814,19,1,3,15,42,1.2086694749999998,1.2086694749999998,1.2086694749999998,1.2369213624999997,平
76,1,0,0,1,1,0.06222343749999998,0.06222343749999998,0.8904317374999998,0.06222343749999998,平
397,4,1,0,3,24,0.4825045250000001,0.4825045250000001,1.0467174625000004,0.4825045250000001,平
245,4,1,0,3,18,0.386362875,0.386362875,0.8878337249999999,0.386362875,平
63,2,1,0,1,1,0.08497988749999996,0.08497988749999996,0.8929869499999998,0.08497988749999996,平
235,3,2,0,1,8,0.343474575,0.343474575,0.9577870749999999,0.343474575,平
399,8,1,1,6,29,0.7318473875,0.7318473875,1.0483051124999998,0.7318473875,平
316,6,0,1,5,18,0.5818054749999998,0.5818054749999998,0.9888132875000004,0.5818054749999998,平
566,11,3,2,6,8,0.4482495750000002,0.4482495750000002,1.0184710000000003,0.4482495750000002,平
834,17,6,3,8,51,1.0441193750000004,1.0441193750000004,1.0441193750000004,1.3351639000000004,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.99841352,0.5693533,0.53742365875,0.53742365875,0.53742365875
策略1胜于策略2:0
策略1平于策略2:10
策略1负于策略2:0
