变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
227,4,0,1,3,22,0.39832651249999984,0.39832651249999984,0.9583376000000001,0.39832651249999984,平
642,15,6,1,8,20,1.1065352625,0.8893626000000001,1.1065352625,0.8893626000000001,负
639,13,2,1,10,59,1.0955767125000002,1.1795677624999998,1.0955767125000002,1.1795677624999998,胜
631,18,3,4,11,47,1.1232993249999998,1.24573085,1.1232993249999998,1.24573085,胜
333,8,0,2,6,53,1.1875595124999996,1.1875595124999996,1.011708725,1.1875595124999996,平
228,4,1,0,3,35,0.5500308624999998,0.5500308624999998,0.9461175125000001,0.5500308624999998,平
463,9,1,0,8,9,0.3962522875,0.3962522875,0.8883094874999999,0.3962522875,平
586,6,1,3,2,39,0.8565884125000001,0.8565884125000001,1.1177505249999997,0.8565884125000001,平
499,9,0,1,8,21,0.8277806749999999,0.8277806749999999,1.0595256,0.8277806749999999,平
543,9,1,3,5,58,1.5239564749999999,1.5239564749999999,1.0890283625,1.5239564749999999,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.03961891125,0.905515595,0.90659060375,0.905515595,0.8237954475
策略1胜于策略2:2
策略1平于策略2:7
策略1负于策略2:1
