变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
376,11,2,4,5,32,0.8909877125000001,0.8909877125000001,0.9444123125000001,0.8909877125000001,平
386,9,2,1,6,28,0.6433874125,0.6433874125,1.0319045749999998,0.6433874125,平
330,3,1,0,2,19,0.4919342374999999,0.4919342374999999,1.019957125,0.4919342374999999,平
568,13,2,3,8,23,1.1139658624999997,0.7287950375000001,1.1139658624999997,0.7287950375000001,负
50,1,0,0,1,1,0.0684190875,0.0684190875,0.8884484999999998,0.0684190875,平
583,9,2,1,6,54,1.28208675,1.28208675,1.1341509875000007,1.28208675,平
304,7,2,1,4,5,0.25614795000000007,0.25614795000000007,0.9010536124999998,0.25614795000000007,平
411,8,0,0,8,9,0.4177739,0.4177739,1.0713715999999995,0.4177739,平
472,8,2,1,5,42,0.832051725,0.832051725,1.0641817249999999,0.832051725,平
361,5,3,0,2,2,0.29085722500000005,0.29085722500000005,1.0211865375,0.29085722500000005,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.01906328375,0.59024410375,0.62876118625,0.59024410375,0.5754505275
策略1胜于策略2:0
策略1平于策略2:9
策略1负于策略2:1
