变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
390,10,1,3,6,47,0.9925659375,0.9925659375,1.024917825,0.9925659375,平
443,10,4,3,3,6,0.44247089999999983,0.44247089999999983,1.0235225875,0.44247089999999983,平
639,13,1,3,9,13,1.1168203749999999,0.503202975,1.1168203749999999,0.503202975,负
912,25,7,6,12,32,1.1492097375,1.1492097375,1.1492097375,1.0143280999999997,平
178,2,0,0,2,2,0.13145510000000002,0.13145510000000002,0.8940453874999997,0.13145510000000002,平
478,8,1,3,4,16,0.5187907250000001,0.5187907250000001,0.9752887125000003,0.5187907250000001,平
677,15,4,3,8,40,1.1374225375000004,0.9141504249999997,1.1374225375000004,0.9141504249999997,负
963,16,2,2,12,87,1.2644942625000002,1.2644942625000002,1.2644942625000002,1.4989922000000002,平
943,9,2,0,7,24,0.9957251749999996,1.1536039249999999,1.1536039249999999,0.9957251749999996,胜
382,6,3,0,3,42,0.9736261500000003,0.9736261500000003,0.9714398125000004,0.9736261500000003,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.07107651625,0.7985307687499998,0.8722580900000001,0.80435701375,0.77486234125
策略1胜于策略2:1
策略1平于策略2:7
策略1负于策略2:2
