变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
61,1,0,0,1,1,0.08990867499999997,0.08990867499999997,0.9067841,0.08990867499999997,平
742,15,2,3,10,25,1.0803096749999999,1.0803096749999999,1.0803096749999999,0.9439417624999995,平
261,7,1,0,6,27,0.4803609,0.4803609,0.9823236250000005,0.4803609,平
872,14,1,6,7,94,1.3280006125000001,1.3280006125000001,1.3280006125000001,2.34204,平
70,1,0,0,1,7,0.23472257500000007,0.23472257500000007,0.9822862249999998,0.23472257500000007,平
998,20,3,4,13,55,1.2693586999999995,1.2693586999999995,1.2693586999999995,1.5142594625,平
697,9,2,2,5,41,1.1673529124999993,1.1673529124999993,1.1882063375000003,1.1673529124999993,平
968,18,2,2,14,81,1.3335868124999997,1.3335868124999997,1.3335868124999997,1.9102390749999993,平
397,6,1,2,3,23,0.7131215375000001,0.7131215375000001,1.0422699,0.7131215375000001,平
971,14,3,3,8,27,1.33241615,1.33241615,1.33241615,0.877377575,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.1445542137500002,1.0273324474999996,0.9029138549999999,0.9029138549999999,0.8437732062499999
策略1胜于策略2:0
策略1平于策略2:10
策略1负于策略2:0
