变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
761,10,4,2,4,49,1.0099072250000003,1.1383205750000003,1.1383205750000003,1.0099072250000003,胜
648,10,5,3,2,5,0.47115042500000026,0.47115042500000026,1.0240891624999997,0.47115042500000026,平
292,5,0,2,3,15,0.38638950000000005,0.38638950000000005,1.0092122875,0.38638950000000005,平
119,2,1,0,1,1,0.11613447499999993,0.11613447499999993,0.9292144999999999,0.11613447499999993,平
214,1,0,0,1,1,0.11485146250000003,0.11485146250000003,0.9571508750000003,0.11485146250000003,平
31,1,0,0,1,1,0.06562332499999998,0.06562332499999998,0.8932275000000003,0.06562332499999998,平
971,12,1,3,8,33,1.2690486125000005,1.2690486125000005,1.2690486125000005,0.9016363000000002,平
426,15,2,5,8,32,1.0239234499999996,0.6798770125000002,1.0239234499999996,0.6798770125000002,负
473,5,1,1,3,16,0.4743684124999999,0.4743684124999999,1.0687095374999998,0.4743684124999999,平
741,13,1,2,10,31,1.2007472375,1.2007472375,1.2007472375,0.9902459249999997,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.05136437375,0.5210184062500001,0.6132144125,0.5916511037500001,0.5210184062500001
策略1胜于策略2:1
策略1平于策略2:8
策略1负于策略2:1
