变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
235,6,1,0,5,18,0.33049013750000006,0.33049013750000006,0.9005884749999996,0.33049013750000006,平
469,6,1,2,3,6,0.3742441874999999,0.3742441874999999,1.0484708249999999,0.3742441874999999,平
201,5,0,2,3,15,0.4815903749999998,0.4815903749999998,0.9028657000000001,0.4815903749999998,平
118,3,0,1,2,24,0.626233225,0.626233225,0.8842468624999998,0.626233225,平
42,1,0,0,1,1,0.04369538750000002,0.04369538750000002,0.8210824374999997,0.04369538750000002,平
806,11,2,2,7,34,0.7691922499999999,1.1446926624999993,1.1446926624999993,0.7691922499999999,胜
724,19,3,3,13,64,1.062535224999999,1.062535224999999,1.062535224999999,1.5903869750000001,平
718,13,2,1,10,18,1.058916225,1.058916225,1.058916225,0.5833610124999998,平
749,10,1,1,8,43,0.9802067125,1.1009438,1.1009438,0.9802067125,胜
514,11,1,0,10,35,0.7175958624999998,0.7175958624999998,1.0129702875,0.7175958624999998,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.99373125,0.6496996125,0.6444699587499998,0.6940937087499999,0.5969144374999998
策略1胜于策略2:2
策略1平于策略2:8
策略1负于策略2:0
