变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
294,7,2,0,5,31,0.767695375,0.767695375,0.9732253625000002,0.767695375,平
677,8,1,0,7,34,0.9348168374999999,0.9348168374999999,1.1171465749999998,0.9348168374999999,平
281,5,1,1,3,17,0.43909773750000003,0.43909773750000003,0.9777531125000003,0.43909773750000003,平
126,3,0,1,2,4,0.14808001249999997,0.14808001249999997,0.9269052374999998,0.14808001249999997,平
672,13,2,3,8,24,1.0850672000000001,0.6946736999999998,1.0850672000000001,0.6946736999999998,负
682,4,2,0,2,2,0.4014322374999999,0.4014322374999999,0.9927797624999999,0.4014322374999999,平
120,2,0,1,1,3,0.150090075,0.150090075,0.9181863499999997,0.150090075,平
36,1,0,0,1,29,0.7350762624999996,0.7350762624999996,0.88229565,0.7350762624999996,平
601,12,4,0,8,31,1.0722696250000001,0.9660834749999999,1.0722696250000001,0.9660834749999999,负
653,10,2,1,7,60,0.9516448625,0.9516448625,1.1112448375,0.9516448625,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.0056873712499999,0.6188690574999999,0.6685270225,0.6188690574999999,0.6188690574999999
策略1胜于策略2:0
策略1平于策略2:8
策略1负于策略2:2
