变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
680,15,3,3,9,57,1.1501291374999998,1.3325818124999997,1.1501291374999998,1.3325818124999997,胜
617,11,2,1,8,33,0.7706034749999999,0.7706034749999999,1.13063365,0.7706034749999999,平
507,3,0,1,2,10,0.42373963750000004,0.42373963750000004,1.0870664999999997,0.42373963750000004,平
499,10,1,1,8,16,0.4882243625,0.4882243625,1.061936575,0.4882243625,平
873,16,4,0,12,43,1.1105552375000003,1.1105552375000003,1.1105552375000003,1.0309744875,平
886,18,3,4,11,83,1.2489169750000002,1.2489169750000002,1.2489169750000002,1.7340354874999995,平
80,1,0,0,1,4,0.18855743749999992,0.18855743749999992,0.886230075,0.18855743749999992,平
148,4,0,0,4,25,0.34651096249999996,0.34651096249999996,0.9215381,0.34651096249999996,平
259,6,1,1,4,6,0.270533075,0.270533075,0.9836332999999995,0.270533075,平
409,9,1,0,8,24,0.6810209624999998,0.6810209624999998,0.9764808124999996,0.6810209624999998,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.0557120362499999,0.72667817,0.6678791262500001,0.68612439375,0.65992105125
策略1胜于策略2:1
策略1平于策略2:9
策略1负于策略2:0
