变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
961,15,2,1,12,49,1.0970308125,1.0970308125,1.0970308125,1.0705591,平
524,9,2,3,4,33,0.8446248750000003,0.8446248750000003,0.9742837625,0.8446248750000003,平
27,0,0,0,0,0,0.016266875000000004,0.016266875000000004,0.8343344124999998,0.016266875000000004,平
768,9,1,1,7,66,1.1043222750000001,1.1070431875000002,1.1070431875000002,1.1043222750000001,胜
358,6,3,1,2,4,0.2862599625000001,0.2862599625000001,0.96217585,0.2862599625000001,平
895,19,2,2,15,43,1.1398013875,1.1398013875,1.1398013875,1.1585486125,平
569,13,2,1,10,48,1.0298144624999999,1.2746616499999999,1.0298144624999999,1.2746616499999999,胜
757,13,3,1,9,78,1.0997303875000008,1.0997303875000008,1.0997303875000008,1.6896985750000006,平
809,16,3,1,12,83,1.1152647375,1.1152647375,1.1152647375,1.7521786875,平
215,6,1,1,4,19,0.5013533874999999,0.5013533874999999,0.9126803124999998,0.5013533874999999,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.02721593125,0.9698474000000001,0.8234469162500002,0.8482037262500001,0.8207997450000001
策略1胜于策略2:2
策略1平于策略2:8
策略1负于策略2:0
