变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
44,0,0,0,0,0,0.03271546249999997,0.03271546249999997,0.9607324874999998,0.03271546249999997,平
809,12,1,5,6,28,1.2383539249999997,1.2383539249999997,1.2383539249999997,0.8638852374999999,平
472,8,4,1,3,7,0.43570865000000003,0.43570865000000003,1.0643848000000002,0.43570865000000003,平
141,2,0,0,2,12,0.3109195125,0.3109195125,0.9700553500000003,0.3109195125,平
834,13,5,1,7,75,1.095918925,1.095918925,1.095918925,2.294693487500001,平
24,0,0,0,0,0,0.015160274999999992,0.015160274999999992,0.9073240000000004,0.015160274999999992,平
775,22,3,4,15,43,1.2944672875,1.2944672875,1.2944672875,1.3017694875,平
298,1,0,1,0,1,0.17630516249999992,0.17630516249999992,1.0670523749999998,0.17630516249999992,平
486,7,1,0,6,6,0.44560340000000026,0.44560340000000026,1.49465155,0.44560340000000026,平
713,16,4,2,10,44,1.2289937125000001,1.2289937125000001,1.2289937125000001,1.3822163499999998,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.1321934412499999,0.7258977025000002,0.6274146312500001,0.6274146312500001,0.5899677625000002
策略1胜于策略2:0
策略1平于策略2:10
策略1负于策略2:0
