变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
61,0,0,0,0,0,0.033148487499999976,0.033148487499999976,0.8582508124999999,0.033148487499999976,平
608,12,0,0,12,42,1.0922677125000004,0.8393005500000001,1.0922677125000004,0.8393005500000001,负
290,2,1,1,0,1,0.21983488749999994,0.21983488749999994,0.89005215,0.21983488749999994,平
751,16,2,4,10,29,1.2019446500000002,1.2019446500000002,1.2019446500000002,0.8685733249999998,平
260,2,0,0,2,15,0.31926951250000013,0.31926951250000013,0.9805969124999999,0.31926951250000013,平
289,5,1,0,4,8,0.2786798999999999,0.2786798999999999,0.9863489,0.2786798999999999,平
5,0,0,0,0,0,0.005532837500000005,0.005532837500000005,0.8699685500000003,0.005532837500000005,平
413,5,1,1,3,25,0.7496484625000001,0.7496484625000001,1.0563396625000003,0.7496484625000001,平
596,6,3,0,3,3,0.40889468749999996,0.40889468749999996,1.0095330125000002,0.40889468749999996,平
275,4,0,2,2,4,0.23155247500000004,0.23155247500000004,1.0006966750000001,0.23155247500000004,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.9945999037500002,0.39544351250000004,0.4540773612500001,0.42878064499999996,0.39544351250000004
策略1胜于策略2:0
策略1平于策略2:9
策略1负于策略2:1
