变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
766,0,0,0,0,0,0.05363312499999999,1.0219642875000001,1.0219642875000001,0.05363312499999999,胜
728,14,2,1,11,43,1.2672397625,1.2672397625,1.2672397625,1.52290195,平
613,3,1,0,2,2,0.3478001249999999,0.3478001249999999,1.0727054125,0.3478001249999999,平
191,17,5,3,9,22,1.3138166124999997,0.9983417749999999,1.3138166124999997,0.9983417749999999,负
618,17,2,4,11,69,1.2042837624999998,1.6260093749999995,1.2042837624999998,1.6260093749999995,胜
62,7,3,0,4,53,1.2423557500000002,1.2423557500000002,0.8579429874999999,1.2423557500000002,平
354,3,1,1,1,2,0.17272398749999998,0.17272398749999998,0.9200971625,0.17272398749999998,平
980,15,4,1,10,28,1.16328785,1.16328785,1.16328785,0.9581636750000003,平
93,9,0,2,7,14,0.5818818999999997,0.5818818999999997,1.1389009374999999,0.5818818999999997,平
774,21,5,3,13,25,1.3200391124999995,1.3200391124999995,1.3200391124999995,0.9311680250000004,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.12802778875,0.8434979687500002,0.8667061987499999,0.9741643925,0.7373179125000001
策略1胜于策略2:2
策略1平于策略2:7
策略1负于策略2:1
