变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
914,4,0,2,2,7,0.38304422500000007,1.0474951624999995,1.0474951624999995,0.38304422500000007,胜
433,4,0,1,3,4,0.332388525,0.332388525,1.0592129500000003,0.332388525,平
14,4,0,1,3,5,0.22852215000000003,0.22852215000000003,0.9955566625000005,0.22852215000000003,平
366,5,2,0,3,55,1.1582040749999998,1.1582040749999998,1.0523223374999997,1.1582040749999998,平
726,7,0,1,6,41,1.1899146750000003,1.1031009374999994,1.1031009374999994,1.1899146750000003,负
795,16,2,1,13,46,1.1637100624999994,1.1637100624999994,1.1637100624999994,1.1169087875000003,平
26,8,0,0,8,37,1.0557276125000004,1.0557276125000004,1.1739898625,1.0557276125000004,平
576,17,2,2,13,65,1.1794584750000001,1.9886971750000004,1.1794584750000001,1.9886971750000004,胜
199,1,1,0,0,1,0.05354217499999999,0.05354217499999999,0.9212091124999999,0.05354217499999999,平
841,13,1,2,10,31,1.236037125,1.236037125,1.236037125,1.1175501499999998,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.0932092687499997,0.8624499550000001,0.79805491,0.9367424999999999,0.7622565375
策略1胜于策略2:2
策略1平于策略2:7
策略1负于策略2:1
