变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
863,2,1,1,0,2,0.09241598749999999,0.9153555625000003,0.9153555625000003,0.09241598749999999,胜
844,6,1,2,3,22,0.5167875625,0.9542934624999997,0.9542934624999997,0.5167875625,胜
484,3,0,1,2,10,0.4144552999999999,0.4144552999999999,0.9770605874999999,0.4144552999999999,平
649,8,2,1,5,7,0.4220247875,0.4220247875,1.0103107375000002,0.4220247875,平
309,17,5,1,11,79,1.1577604624999995,1.78769445,1.1577604624999995,1.78769445,胜
769,2,0,0,2,22,0.31548023749999987,0.8849547500000001,0.8849547500000001,0.31548023749999987,胜
670,7,1,1,5,6,0.2943433624999998,0.2943433624999998,1.0116417125,0.2943433624999998,平
41,10,5,0,5,20,0.7647732250000001,0.7647732250000001,0.9764940124999999,0.7647732250000001,平
971,18,6,3,9,42,1.1703441374999997,1.1703441374999997,1.1703441374999997,0.9210113375000001,平
727,4,1,0,3,4,0.10928692499999997,0.8957156250000002,0.8957156250000002,0.10928692499999997,胜
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.9953931049999998,0.5638273175000001,0.5257671987499999,0.85039546625,0.5008339187499999
策略1胜于策略2:5
策略1平于策略2:5
策略1负于策略2:0
