变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
751,1,1,0,0,0,0.017924087500000012,0.9025312874999998,0.9025312874999998,0.017924087500000012,胜
400,4,0,0,4,4,0.2502522999999999,0.2502522999999999,1.0609021374999996,0.2502522999999999,平
166,1,0,0,1,1,0.06916243750000003,0.06916243750000003,0.9478465625,0.06916243750000003,平
100,17,5,1,11,24,1.1849216375000002,1.1045442499999996,1.1849216375000002,1.1045442499999996,负
927,4,0,0,4,18,0.6768796749999999,1.0924363,1.0924363,0.6768796749999999,胜
128,0,0,0,0,0,0.011322062500000002,0.011322062500000002,0.9307778124999997,0.011322062500000002,平
214,1,0,1,0,1,0.07611171250000003,0.07611171250000003,0.9450133625000003,0.07611171250000003,平
675,6,2,0,4,30,0.7054363750000001,0.7054363750000001,1.1307968250000002,0.7054363750000001,平
997,5,2,3,0,5,0.37713721249999993,1.1786940625000002,1.1786940625000002,0.37713721249999993,胜
704,8,3,1,4,6,0.39132992499999997,0.9817915750000001,0.9817915750000001,0.39132992499999997,胜
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.03557115625,0.3680100037499999,0.37604774250000006,0.6372282362499999,0.3680100037499999
策略1胜于策略2:4
策略1平于策略2:5
策略1负于策略2:1
