变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
163,16,2,3,11,56,1.1472133875,1.7757628499999996,1.1472133875,1.7757628499999996,胜
889,7,2,0,5,37,0.7459137499999999,1.0983218874999998,1.0983218874999998,0.7459137499999999,胜
564,21,6,4,11,111,1.3056804875000005,2.1435237874999995,1.3056804875000005,2.1435237874999995,胜
273,5,1,1,3,30,0.8481230374999997,0.8481230374999997,0.9932794375000003,0.8481230374999997,平
167,6,1,0,5,51,0.9176274124999997,0.9176274124999997,1.0760303874999997,0.9176274124999997,平
830,16,1,5,10,65,1.1249860249999997,1.1249860249999997,1.1249860249999997,1.8807626625000005,平
757,8,0,1,7,43,1.1805329624999996,1.1129637250000004,1.1129637250000004,1.1805329624999996,负
357,12,1,4,7,62,1.391200625,2.0539196750000004,1.391200625,2.0539196750000004,胜
597,11,1,0,10,98,3.212150537499999,3.212150537499999,1.2474661125000002,3.212150537499999,平
856,6,0,1,5,22,0.4219552875000002,1.047265275,1.047265275,0.4219552875000002,胜
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.154440735,1.5180271962499998,1.2295383512499998,1.53346442125,1.026312985
策略1胜于策略2:5
策略1平于策略2:4
策略1负于策略2:1
