变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
583,0,0,0,0,0,0.08798975000000002,0.08798975000000002,0.9554641499999997,0.08798975000000002,平
195,7,2,0,5,19,0.8717349625000003,0.8717349625000003,1.1074896,0.8717349625000003,平
39,14,1,6,7,68,1.2158625250000004,1.4100120250000001,1.2158625250000004,1.4100120250000001,胜
5,0,0,0,0,0,0.04027962500000001,0.04027962500000001,0.9131478,0.04027962500000001,平
960,8,2,0,6,25,0.7180896250000003,1.0980867375000005,1.0980867375000005,0.7180896250000003,胜
340,18,6,3,9,40,1.1394675875,1.311897525,1.1394675875,1.311897525,胜
306,10,2,1,7,90,1.3839572875000001,1.3839572875000001,1.1435677250000005,1.3839572875000001,平
425,7,3,0,4,24,0.7048323000000001,0.7048323000000001,1.0357400999999995,0.7048323000000001,平
303,13,1,2,10,56,1.1784749000000003,1.4167208250000005,1.1784749000000003,1.4167208250000005,胜
799,8,1,2,5,12,0.4304121375000001,1.0223920000000006,1.0223920000000006,0.4304121375000001,胜
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.0809693125000002,0.8375926062500001,0.7771100700000002,0.9347903037500002,0.7530711137500002
策略1胜于策略2:5
策略1平于策略2:5
策略1负于策略2:0
