变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
182,1,0,0,1,1,0.12159800000000001,0.12159800000000001,0.9456815624999997,0.12159800000000001,平
833,11,4,2,5,16,0.6428384750000004,1.0875932250000004,1.0875932250000004,0.6428384750000004,胜
447,12,3,0,9,50,1.0871975500000004,1.3869828624999996,1.0871975500000004,1.3869828624999996,胜
312,17,2,4,11,18,1.2479953249999998,0.8659401250000001,1.2479953249999998,0.8659401250000001,负
810,11,2,3,6,44,0.7366069875000002,1.0141703375,1.0141703375,0.7366069875000002,胜
258,21,2,7,12,51,1.2445260749999998,1.2470598874999996,1.2445260749999998,1.2470598874999996,胜
433,7,3,1,3,4,0.41088439999999987,0.41088439999999987,1.0613671625,0.41088439999999987,平
20,16,2,3,11,47,1.1777959000000002,1.3238450749999993,1.1777959000000002,1.3238450749999993,胜
687,22,3,3,16,66,1.2260620250000005,1.5442845875000004,1.2260620250000005,1.5442845875000004,胜
486,11,2,2,7,53,1.1472721500000003,1.1472721500000003,1.1209127125,1.1472721500000003,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.1213301875,0.942731255,0.9042776887500003,1.014963065,0.8634362250000003
策略1胜于策略2:6
策略1平于策略2:3
策略1负于策略2:1
