变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
122,12,2,0,10,42,1.2841588749999995,1.0572564874999997,1.2841588749999995,1.0572564874999997,负
764,5,1,1,3,5,0.3776664250000002,0.9876129874999997,0.9876129874999997,0.3776664250000002,胜
2,3,0,0,3,7,0.39645644999999996,0.39645644999999996,1.1451981000000004,0.39645644999999996,平
911,16,1,7,8,69,1.3245614249999997,1.3245614249999997,1.3245614249999997,1.8748610250000002,平
887,9,3,1,5,11,0.553074,1.1099327875,1.1099327875,0.553074,胜
109,16,4,3,9,37,1.0470888750000003,1.0339707374999998,1.0470888750000003,1.0339707374999998,负
208,6,1,0,5,117,2.5207144625,2.5207144625,1.0802856375,2.5207144625,平
79,0,0,0,0,0,0.04571082500000002,0.04571082500000002,0.9708489999999997,0.04571082500000002,平
84,6,1,1,4,5,0.355161175,0.355161175,0.9852715875000003,0.355161175,平
489,2,1,0,1,1,0.17393745,0.17393745,1.0579353375000002,0.17393745,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.09928946125,0.83888090375,0.80785299625,0.90053147875,0.6398080612500001
策略1胜于策略2:2
策略1平于策略2:6
策略1负于策略2:2
