变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
929,12,2,4,6,50,1.2940161875,1.2940161875,1.2940161875,1.2596328750000003,平
286,2,0,0,2,20,0.5024664375000001,0.5024664375000001,0.97438245,0.5024664375000001,平
468,3,1,0,2,14,0.2390584875,0.2390584875,0.9700149875000003,0.2390584875,平
634,12,0,2,10,89,1.2052033,1.7083059374999998,1.2052033,1.7083059374999998,胜
602,5,2,2,1,3,0.4037960749999999,0.4037960749999999,1.1311336625000001,0.4037960749999999,平
21,11,3,1,7,49,0.9709184624999997,0.9709184624999997,1.0502643625000005,0.9709184624999997,平
696,12,3,2,7,39,1.1520726000000001,0.9426772874999998,1.1520726000000001,0.9426772874999998,负
506,12,2,1,9,29,1.1436050499999997,0.8581194750000005,1.1436050499999997,0.8581194750000005,负
168,2,1,0,1,1,0.11587813750000005,0.11587813750000005,0.956918125,0.11587813750000005,平
533,15,3,2,10,60,1.2192997499999996,1.5181495875,1.2192997499999996,1.5181495875,胜
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.1096910475,0.85190027625,0.8246314487499999,0.8553386074999999,0.7717050287499999
策略1胜于策略2:2
策略1平于策略2:6
策略1负于策略2:2
