变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
674,8,1,0,7,23,1.4406801625,1.4406801625,1.3950280874999996,1.4406801625,平
876,3,1,1,1,2,0.21201471250000004,1.062602075,1.062602075,0.21201471250000004,胜
126,7,0,2,5,36,1.3872127499999998,1.3872127499999998,1.1550394750000004,1.3872127499999998,平
774,1,0,0,1,1,0.09726984999999998,0.9613336250000002,0.9613336250000002,0.09726984999999998,胜
282,12,2,1,9,28,1.1353620875,0.8361753749999996,1.1353620875,0.8361753749999996,负
369,1,0,0,1,26,0.7235848749999997,0.7235848749999997,0.9639957750000001,0.7235848749999997,平
922,0,0,0,0,0,0.015085474999999996,0.9196748500000002,0.9196748500000002,0.015085474999999996,胜
741,18,6,3,9,53,1.2929043874999993,1.2929043874999993,1.2929043874999993,2.285280399999999,平
750,9,2,1,6,20,0.8938231624999998,1.1132256375,1.1132256375,0.8938231624999998,胜
634,14,4,2,8,19,1.1604867125000002,0.9205462500000001,1.1604867125000002,0.9205462500000001,负
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.11596527125,0.8811673012499999,0.8358424174999998,1.0657939987499998,0.7541471649999998
策略1胜于策略2:4
策略1平于策略2:4
策略1负于策略2:2
