变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
999,3,0,1,2,20,0.4756418875,0.9033332125,0.9033332125,0.4756418875,胜
729,0,0,0,0,0,0.011813999999999996,0.8629679749999998,0.8629679749999998,0.011813999999999996,胜
1,3,0,0,3,34,0.5375982499999999,0.5375982499999999,0.9588105874999997,0.5375982499999999,平
120,13,2,0,11,80,1.1360087750000003,1.7302606000000005,1.1360087750000003,1.7302606000000005,胜
832,4,1,0,3,3,0.19166903750000003,0.9205355499999998,0.9205355499999998,0.19166903750000003,胜
871,7,2,0,5,28,0.7411507625,1.0318591374999997,1.0318591374999997,0.7411507625,胜
125,12,4,2,6,27,1.0213174500000004,0.887050225,1.0213174500000004,0.887050225,负
818,8,4,2,2,8,0.39702831250000004,0.9795944750000002,0.9795944750000002,0.39702831250000004,胜
732,11,3,2,6,37,1.0677285625000006,1.1232487875,1.1232487875,1.0677285625000006,胜
20,0,0,0,0,0,0.12359193750000004,0.12359193750000004,0.9483812000000003,0.12359193750000004,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.9886057149999999,0.6163533575000002,0.5703548975000001,0.9100040149999999,0.5569281750000001
策略1胜于策略2:7
策略1平于策略2:2
策略1负于策略2:1
