变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
3,6,1,0,5,18,0.35351478749999987,0.35351478749999987,0.9350650625000002,0.35351478749999987,平
698,6,1,2,3,6,0.3943877250000001,0.3943877250000001,1.1023471374999998,0.3943877250000001,平
77,5,0,2,3,15,0.5084536249999999,0.5084536249999999,0.9493593625000003,0.5084536249999999,平
145,3,0,1,2,24,0.6550907750000002,0.6550907750000002,0.9311627125000003,0.6550907750000002,平
9,1,0,0,1,1,0.04730381249999999,0.04730381249999999,0.871756225,0.04730381249999999,平
179,11,2,2,7,34,0.812232225,0.812232225,1.1653244749999998,0.812232225,平
598,19,3,3,13,64,1.0768590374999998,1.6276342375000001,1.0768590374999998,1.6276342375000001,胜
36,13,2,1,10,18,1.1030528250000002,0.6130951124999999,1.1030528250000002,0.6130951124999999,负
977,10,1,1,8,43,1.0092095625000004,1.1526499124999998,1.1526499124999998,1.0092095625000004,胜
213,11,1,0,10,35,0.7434867499999999,0.7434867499999999,1.0490829375,0.7434867499999999,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.03366596875,0.6764408612500001,0.6703591125000001,0.6907848962500001,0.6213633412500001
策略1胜于策略2:2
策略1平于策略2:7
策略1负于策略2:1
