变化服务个数,实际需要更新的ws的个数,实际删除的个数,实际新增的个数,实际qos变化的个数,PQ队列的最大长度,策略1(11),策略2(700),重查,连续查询,结果
930,0,0,0,0,0,0.0034799624999999946,0.8524156375,0.8524156375,0.0034799624999999946,胜
685,2,1,0,1,1,0.058903899999999995,0.058903899999999995,0.8867187624999999,0.058903899999999995,平
507,5,0,1,4,7,0.3368949624999999,0.3368949624999999,0.9509416624999998,0.3368949624999999,平
145,14,3,4,7,29,1.1567822249999997,0.8228594250000001,1.1567822249999997,0.8228594250000001,负
298,11,1,0,10,50,1.1708305374999999,1.1708305374999999,1.1390184500000002,1.1708305374999999,平
161,21,5,2,14,67,1.104383875,1.5937535124999997,1.104383875,1.5937535124999997,胜
216,1,0,0,1,1,0.08071431250000001,0.08071431250000001,0.901205625,0.08071431250000001,平
445,2,1,1,0,2,0.21208955000000002,0.21208955000000002,0.9818076625000005,0.21208955000000002,平
86,11,3,1,7,13,0.5472044125,0.5472044125,1.0713422375000003,0.5472044125,平
316,6,1,1,4,5,0.3011378250000001,0.3011378250000001,0.9935521250000002,0.3011378250000001,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1.00381682625,0.5127868400000001,0.4972421562499999,0.5976804075000001,0.4606686675000001
策略1胜于策略2:2
策略1平于策略2:7
策略1负于策略2:1
