变化服务个数,实际需要更新的ws的个数,PQ队列的最大长度,策略1(13),策略2(500),重查,连续查询,结果
363,0,1,0.49348494999999987,0.49348494999999987,0.7885869249999998,0.49348494999999987,平
841,0,52,2.2226092,0.834746625,0.834746625,2.2226092,负
666,0,10,1.1978721625,0.8376708249999997,0.8376708249999997,1.1978721625,负
430,0,38,1.11388125,1.11388125,0.800187,1.11388125,平
254,0,6,0.41462033750000016,0.41462033750000016,0.80318585,0.41462033750000016,平
175,0,3,0.3881699625000001,0.3881699625000001,0.8692957249999997,0.3881699625000001,平
544,0,9,0.8842368249999997,0.6943482000000001,0.6943482000000001,0.8842368249999997,负
764,0,21,1.2396486374999998,0.8614215999999999,0.8614215999999999,1.2396486374999998,负
286,0,1,0.44651798750000005,0.44651798750000005,0.775078375,0.44651798750000005,平
462,0,4,0.6603284874999998,0.6603284874999998,0.826444925,0.6603284874999998,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.8090966049999999,0.90613698,0.90613698,0.6745190225,0.6431495975
策略1胜于策略2:0
策略1平于策略2:6
策略1负于策略2:4
