qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
504,11,41,0.6586819750000001,0.6586819750000001,0.6586819750000001,0.40930675,平
542,9,59,0.9644858750000008,0.5879855875,0.5879855875,0.9644858750000008,负
312,7,20,0.19256143750000004,0.19256143750000004,0.5695109125000001,0.19256143750000004,平
956,20,106,0.5751613625,0.5751613625,0.5751613625,1.7917914874999998,平
880,16,101,0.5724189874999999,0.5724189874999999,0.5724189874999999,1.6326832000000002,平
537,10,47,0.6371763250000001,0.5760273249999999,0.5760273249999999,0.6371763250000001,负
735,15,58,0.568115675,0.568115675,0.568115675,0.8728772999999999,平
884,12,40,0.6414474874999999,0.6414474874999999,0.6414474874999999,0.4900637625,平
843,25,72,0.5750918875000001,0.5750918875000001,0.5750918875000001,1.1276142125,平
813,24,91,0.5720608375000001,0.5720608375000001,0.5720608375000001,1.6508744375,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.5896502037500001,0.9769434787500002,0.5957201850000001,0.5519552562500001,0.51187936125
策略1胜于策略2:0
策略1平于策略2:8
策略1负于策略2:2
