qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
764,15,63,0.6976358,0.6976358,0.6976358,0.8875511624999998,平
535,12,60,0.6074757875000002,0.6074757875000002,0.6074757875000002,0.777633625,平
708,10,28,0.6518127499999998,0.7642748625,0.7642748625,0.6518127499999998,胜
93,1,14,0.12303579999999996,0.12303579999999996,0.5820679125,0.12303579999999996,平
192,4,21,0.6249027,0.6249027,0.5809506249999998,0.6249027,平
338,8,46,0.6959518499999999,0.6959518499999999,0.6876822374999999,0.6959518499999999,平
35,0,0,0.0012456000000000014,0.0012456000000000014,0.5837089750000002,0.0012456000000000014,平
800,23,64,0.5752254125,0.5752254125,0.5752254125,1.0320070625000002,平
397,3,14,0.22748472499999997,0.22748472499999997,0.7074076500000002,0.22748472499999997,平
434,5,18,0.4301655000000001,0.4301655000000001,0.5857349874999999,0.4301655000000001,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.637216425,0.5451790775,0.46349359250000005,0.4747398037500001,0.45827142374999996
策略1胜于策略2:1
策略1平于策略2:9
策略1负于策略2:0
