qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
379,11,15,0.5976719125000002,0.23421493749999991,0.5976719125000002,0.23421493749999991,负
343,8,24,0.4182072875,0.4182072875,0.5878947125,0.4182072875,平
328,8,34,0.3608750375,0.3608750375,0.5795287374999999,0.3608750375,平
786,16,62,0.6800646125,0.6800646125,0.6800646125,0.9808597750000001,平
532,14,41,0.70767495,0.70767495,0.70767495,0.4968633874999998,平
706,16,39,0.66555115,0.66555115,0.66555115,0.5232976374999999,平
703,7,35,0.3556630250000001,0.6357009999999998,0.6357009999999998,0.3556630250000001,胜
941,20,39,0.7508144625000003,0.7508144625000003,0.7508144625000003,0.6514278250000001,平
628,16,74,0.6958129375,0.6958129375,0.6958129375,1.2815159125000002,平
208,2,2,0.022820637499999998,0.022820637499999998,0.6368984500000001,0.022820637499999998,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.6537612925000001,0.53257454625,0.52551560125,0.5171737012500001,0.4439247324999999
策略1胜于策略2:1
策略1平于策略2:8
策略1负于策略2:1
