qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
233,3,26,0.28306896249999997,0.28306896249999997,0.6061395,0.28306896249999997,平
303,4,10,0.12900162499999995,0.12900162499999995,0.6017558999999998,0.12900162499999995,平
640,13,100,0.5973992625000001,0.5973992625000001,0.5973992625000001,1.7596961625000003,平
349,4,57,0.5869057499999999,0.5869057499999999,0.6139013500000001,0.5869057499999999,平
885,21,93,0.7069479000000001,0.7069479000000001,0.7069479000000001,1.1189382125,平
732,11,54,0.6088817000000003,0.6088817000000003,0.6088817000000003,0.8772340875000001,平
958,21,99,0.6088335624999999,0.6088335624999999,0.6088335624999999,1.5444744375000001,平
921,24,138,0.5823190749999998,0.5823190749999998,0.5823190749999998,2.5354588875,平
352,8,49,0.6315046000000001,0.6315046000000001,0.5706656375000001,0.6315046000000001,平
551,10,39,0.45558948750000017,0.6204445249999998,0.6204445249999998,0.45558948750000017,胜
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.6117288412500002,0.9921872212499998,0.5190451925,0.53553069625,0.5129612962500001
策略1胜于策略2:1
策略1平于策略2:9
策略1负于策略2:0
