实验序号,实验结果,重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
1,负,0.782862242,0.91045522,0.747622037,0.694982219,0.477013863
2,胜,0.637216425,0.545179078,0.463493593,0.474739804,0.458271424
3,平,0.627011594,0.850123545,0.47153405,0.47153405,0.47153405
4,负,0.589299532,0.48463675,0.463152009,0.408213552,0.336764482
5,胜,0.586739498,0.566412054,0.407964994,0.441842066,0.373402606
6,胜,0.590698494,0.581255911,0.393683549,0.401727694,0.387433931
7,负,0.604527728,0.553179945,0.435425146,0.417975296,0.381923069
8,平,0.653761293,0.532574546,0.525515601,0.517173701,0.443924732
9,胜,0.680312096,0.839184695,0.709489266,0.745728071,0.530053531
10,负,0.646100914,0.643110583,0.48314534,0.463896135,0.463896135
11,平,0.615140996,0.303605861,0.2766108,0.299379029,0.275041294
12,胜,0.615206201,0.591363455,0.340665745,0.37947473,0.290673101
13,平,0.584358531,1.134232161,0.61997508,0.61997508,0.567214449
14,胜,0.596375561,0.419249715,0.441081931,0.478808408,0.366162459
15,负,0.600863804,0.851011448,0.570819588,0.499906704,0.499906704
16,胜,0.638476952,0.472503733,0.403986212,0.435815371,0.385719556
17,胜,0.611728841,0.992187221,0.519045193,0.535530696,0.512961296
18,平,0.607100038,0.44564336,0.397078003,0.397078003,0.340500049
19,平,0.591596019,0.611753995,0.446233543,0.448466421,0.417552996
20,胜,0.59384868,0.72901595,0.472139148,0.483228198,0.472139148
21,平,0.578178933,0.790284161,0.500652921,0.500652921,0.486708745
22,胜,0.595336919,0.248884998,0.224506635,0.322028121,0.224506635
23,负,0.576022488,0.633314663,0.636258515,0.575400789,0.460743255
24,胜,0.589550241,0.814599449,0.481461459,0.520575678,0.465962244
25,胜,0.58811169,0.639996149,0.448651347,0.47915852,0.418602305
26,胜,0.586880054,0.544886643,0.430486784,0.439696833,0.415333964
27,胜,0.581883511,0.722857716,0.439983921,0.558283991,0.390581989
28,负,0.586857096,0.550230755,0.459270559,0.405360073,0.405360073
29,负,0.604114499,0.500200137,0.482777561,0.443459136,0.389180349
30,胜,0.586478629,0.305047621,0.379050843,0.427151124,0.292845604
31,胜,0.588922094,0.879465334,0.568455161,0.608212462,0.541411983
32,胜,0.576866044,0.65819712,0.399375608,0.418860003,0.399375608
33,平,0.593044688,0.587660539,0.463279253,0.463279253,0.304678751
34,胜,0.588423378,0.645735319,0.429572726,0.449353823,0.365558934
35,胜,0.574779613,0.864048974,0.511847268,0.566865375,0.493629236
36,负,0.605069784,0.655174631,0.525484066,0.486153346,0.465851044
37,胜,0.592947359,0.549614941,0.333859651,0.385880962,0.316565899
38,负,0.579902909,0.824680836,0.590527404,0.524667761,0.459698167
39,平,0.59743832,0.477104199,0.551669809,0.525050011,0.41897385
40,胜,0.643519501,0.592045075,0.434391825,0.520865399,0.422390794
41,负,0.593044674,0.57541791,0.526347362,0.504554169,0.502253925
42,平,0.655318998,0.541455827,0.396701155,0.396701155,0.389035481
43,负,0.597370906,0.768685016,0.530684319,0.499237919,0.499237919
44,负,0.593167643,0.459135826,0.482639638,0.494605369,0.411176142
45,平,0.584990385,0.600824784,0.373616451,0.373616451,0.372094
46,胜,0.634424918,0.439655702,0.34653584,0.429538479,0.34653584
47,平,0.599315153,0.582158263,0.463178228,0.463178228,0.434506228
48,胜,0.592239086,0.554427615,0.374159011,0.47087756,0.374159011
49,胜,0.618281565,0.777950132,0.407012414,0.485071401,0.407012414
50,平,0.622251296,0.663314515,0.437702413,0.437702413,0.436462744
51,胜,0.587434406,0.297532151,0.216671521,0.261108958,0.216671521
52,胜,0.598852195,0.304127598,0.239840113,0.288355745,0.205397469
53,负,0.587450984,0.478323556,0.389158421,0.386317208,0.34735426
54,负,0.589650204,0.976943479,0.595720185,0.551955256,0.511879361
55,负,0.588974495,0.595073917,0.506664105,0.53958857,0.466620271
56,胜,0.58948929,0.559088509,0.424758925,0.475318226,0.345060964
57,胜,0.580394179,0.508351214,0.447509011,0.48730695,0.375606094
58,胜,0.582010715,0.401903013,0.372099333,0.382969213,0.334459473
59,胜,0.585407861,0.629027951,0.453844679,0.483151209,0.420931963
60,平,0.617789769,0.768873758,0.46704851,0.46704851,0.412401915
61,平,0.628423899,0.474879305,0.437301979,0.451676473,0.385863316
62,平,0.615606056,0.677773984,0.371659379,0.371659379,0.371659379
63,平,0.603018654,0.755336373,0.401118289,0.401118289,0.379149747
64,胜,0.651666315,0.603866978,0.42910978,0.432969879,0.393774939
65,负,0.635190954,0.914275767,0.697611744,0.68854122,0.524794449
66,平,0.726259715,0.549039201,0.405557326,0.405557326,0.389367975
67,胜,0.594484281,0.743965605,0.564892814,0.565997776,0.532993636
68,胜,0.589924446,0.503915914,0.36397767,0.397988935,0.327676338
69,负,0.602195374,0.436906432,0.342546367,0.316493753,0.289358633
70,胜,0.593155895,0.691144011,0.477504059,0.497585593,0.477021881
71,胜,0.597777756,0.457948564,0.366226589,0.395557177,0.357673528
72,平,0.599551979,0.479813389,0.45276327,0.48872996,0.411673293
73,平,0.607049816,0.950137131,0.57951963,0.57951963,0.479919244
74,胜,0.592466282,0.510917144,0.463278702,0.513377726,0.387289565
75,平,0.677989419,0.705716863,0.474556469,0.474556469,0.471104242
76,平,0.629958618,0.752312864,0.531232241,0.531232241,0.475759782
77,胜,0.655648855,0.382650054,0.466895054,0.461562747,0.382650054
78,平,0.633556241,0.705223976,0.554927966,0.579870818,0.521646938
79,胜,0.65386869,0.616912559,0.498870137,0.610765579,0.4452494
80,平,0.663721833,0.85049989,0.516874344,0.516874344,0.516874344
81,胜,0.614797804,0.467586258,0.450462497,0.495552634,0.412622129
82,负,0.605032855,0.500273381,0.489023418,0.478659247,0.410688624
83,平,0.610353416,0.481169044,0.491442856,0.487499383,0.425569334
84,胜,0.617171265,0.547931015,0.451781246,0.534059565,0.428017627
85,平,0.618547783,0.839276102,0.637164053,0.637164053,0.550068238
86,胜,0.635515979,0.761668829,0.507314685,0.543616543,0.472797738
87,胜,0.629420864,0.618813473,0.562704858,0.600978735,0.342072217
88,胜,0.606633908,0.775989315,0.54014346,0.547633808,0.54014346
89,平,0.612617304,0.691764136,0.600395513,0.507619928,0.502369956
90,胜,0.601926493,0.578112653,0.413065305,0.449206801,0.413065305
91,胜,0.599933096,0.628306844,0.559078891,0.575041028,0.486579378
92,胜,0.606825826,0.644047665,0.449195025,0.505826996,0.443523812
93,平,0.602989246,0.49479512,0.375008984,0.375008984,0.35164201
94,平,0.608266472,0.59230912,0.472564671,0.472564671,0.388252852
95,负,0.618058096,0.363810874,0.308644165,0.27380915,0.249907614
96,胜,0.60741115,0.440461812,0.363749919,0.387327503,0.348712035
97,平,0.605484021,0.354198326,0.314211146,0.314211146,0.314211146
98,平,0.615443559,0.292984068,0.236104073,0.236104073,0.234218659
99,胜,0.60092153,0.389424124,0.31770509,0.33455889,0.31770509
100,胜,0.601152445,0.77849216,0.521142298,0.562548196,0.441522388
总胜率:49,,0.610354301,0.610276295,0.457894417,0.471152604,0.409940956
总平率:31,,,,,,
总负率:20,,,,,,
