qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
891,14,106,0.6420676375,0.6420676375,0.6420676375,1.9194779874999999,平
966,16,41,0.5866277750000003,0.5866277750000003,0.5866277750000003,0.6079569874999999,平
78,1,1,0.02055418750000001,0.02055418750000001,0.606609825,0.02055418750000001,平
779,9,14,0.19009174999999995,0.6021034874999998,0.6021034874999998,0.19009174999999995,胜
135,6,12,0.22170600000000001,0.22170600000000001,0.597634475,0.22170600000000001,平
323,8,31,0.5428681249999998,0.5428681249999998,0.5908723125000002,0.5428681249999998,平
882,12,51,0.6738636250000001,0.6738636250000001,0.6738636250000001,0.6720568499999999,平
700,13,88,0.5766794250000001,0.5766794250000001,0.5766794250000001,1.2831783875,平
692,10,35,0.4439893875000001,0.5982973625000001,0.5982973625000001,0.4439893875000001,胜
628,14,33,0.5935023375,0.5935023375,0.5935023375,0.5385969875000001,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.60682582625,0.6440476650000001,0.449195025,0.50582699625,0.44352381249999995
策略1胜于策略2:2
策略1平于策略2:8
策略1负于策略2:0
