第1组
serv822616296,430.0
serv44935345,115.0
serv1499735188,228.0
serv1291438489,292.0
serv1431941461,385.0
serv879760647,46.0
serv1921244142,124.0
serv534238026,129.0
serv1779102626,376.0
serv2122986741,295.0
serv1990676375,232.0
serv1782379676,132.0
serv744173231,493.0
serv463167249,367.0

第2组
serv392096510,201.0
serv534238026,113.0
serv1088057346,254.0
serv950831424,209.0
serv1501373694,103.0
serv1504650744,498.0
serv1989037869,288.0
serv327579833,409.0
serv325941327,456.0
serv185438317,437.0
serv673102492,186.0
serv669825442,271.0
serv1711308937,380.0
serv1293691178,481.0
serv535876532,263.0
serv744173231,514.0
serv187076861,291.0
serv1297992589,337.0
serv1574082977,215.0

第3组

第4组
serv1433580005,439.0
serv600393209,448.0
serv1846896353,340.0
serv256509094,430.0
serv188715367,195.0
serv258147600,309.0
serv1575721521,290.0
serv2055193052,362.0
serv325941327,452.0
serv1638599654,176.0

第5组
serv2127902335,13.0
serv1089695890,219.0

第6组
serv187076861,307.0
serv1430302955,182.0
serv811966958,15.0
serv188715367,226.0
serv881399191,27.0
serv1457337543,210.0
serv1780741170,371.0
serv1987399325,138.0

第7组

第8组
serv188715367,212.0
serv532599482,144.0
serv1501373694,147.0
serv130956833,322.0
serv2058470102,203.0
serv1574082977,188.0
serv253232044,65.0
serv1020263657,367.0
serv1640238160,419.0

第9组
serv1436857055,458.0
serv1018625113,428.0

第10组
serv603670259,58.0
serv1089695890,232.0
serv1294715539,320.0
serv2056831558,299.0
serv185438317,437.0
serv1569167421,475.0
serv1155851073,78.0
serv2129540841,152.0

