qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
477,8,29,0.3219264374999999,0.3219264374999999,0.6316862499999999,0.3219264374999999,平
690,14,65,0.6647974000000001,0.6647974000000001,0.6647974000000001,1.0714045625,平
756,13,32,0.5766741625,0.5766741625,0.5766741625,0.5209883249999999,平
156,3,3,0.07346543750000001,0.07346543750000001,0.5835754624999999,0.07346543750000001,平
229,7,41,0.731570125,0.731570125,0.5842329375000002,0.731570125,平
606,12,65,0.5721624125,0.5721624125,0.5721624125,1.1836367625,平
950,19,59,0.577572325,0.577572325,0.577572325,0.8533282125000001,平
612,6,54,0.9633527,0.5700455,0.5700455,0.9633527,负
852,14,46,0.6138906624999999,0.6138906624999999,0.6138906624999999,0.6726447500000001,平
119,2,12,0.159429,0.159429,0.6760607249999999,0.159429,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.6050697837500001,0.65517463125,0.52548406625,0.48615334625000006,0.46585104375
策略1胜于策略2:0
策略1平于策略2:9
策略1负于策略2:1
