qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
295,2,2,0.03760137499999999,0.03760137499999999,0.6402341124999997,0.03760137499999999,平
713,12,32,0.6157348874999997,0.6157348874999997,0.6157348874999997,0.4330683249999999,平
511,10,25,0.47467884999999993,0.6313388875,0.6313388875,0.47467884999999993,胜
37,2,2,0.04226817500000003,0.04226817500000003,0.6142327624999998,0.04226817500000003,平
951,17,44,0.6147245624999998,0.6147245624999998,0.6147245624999998,0.6954975250000001,平
579,6,22,0.4584280249999999,0.620059575,0.620059575,0.4584280249999999,胜
189,2,2,0.03885762499999999,0.03885762499999999,0.6293289250000002,0.03885762499999999,平
404,7,35,0.4999959875000002,0.4999959875000002,0.7615431750000001,0.4999959875000002,平
919,17,82,0.6178357375000002,0.6178357375000002,0.6178357375000002,1.1854650125000004,平
778,13,56,0.6397368999999999,0.6397368999999999,0.6397368999999999,0.859176425,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.6384769524999999,0.47250373250000005,0.4039862124999999,0.43581537125,0.38571955625
策略1胜于策略2:2
策略1平于策略2:8
策略1负于策略2:0
