qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
758,25,108,0.5641705875,0.5641705875,0.5641705875,1.7682973874999994,平
391,8,38,0.7713632500000002,0.7713632500000002,0.6734093124999999,0.7713632500000002,平
134,0,0,0.0022451875000000033,0.0022451875000000033,0.5910271875000002,0.0022451875000000033,平
435,12,27,0.5908133375,0.33028718749999997,0.5908133375,0.33028718749999997,负
224,1,1,0.03313783750000001,0.03313783750000001,0.5906636875,0.03313783750000001,平
440,5,26,0.483568675,0.483568675,0.636957075,0.483568675,平
352,3,3,0.055054999999999986,0.055054999999999986,0.5869431625000002,0.055054999999999986,平
9,0,0,5.666750000000006E-4,5.666750000000006E-4,0.5961590750000002,5.666750000000006E-4,平
262,6,13,0.13772562499999996,0.13772562499999996,0.5783900750000002,0.13772562499999996,平
112,2,35,0.7868175,0.7868175,0.6134202375000002,0.7868175,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.6021953737500001,0.43690643249999994,0.34254636749999995,0.3164937525,0.2893586325
策略1胜于策略2:0
策略1平于策略2:9
策略1负于策略2:1
