qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
458,11,69,0.57572795,0.9904712749999997,0.57572795,0.9904712749999997,胜
56,4,46,0.38576438750000014,0.38576438750000014,0.5753484124999999,0.38576438750000014,平
539,5,45,0.6780653125,0.6426930499999999,0.6426930499999999,0.6780653125,负
820,10,37,0.62344875,0.5733223375,0.5733223375,0.62344875,负
498,10,58,0.4916246374999999,0.4916246374999999,0.5736485499999999,0.4916246374999999,平
929,17,85,0.6219571625,0.6219571625,0.6219571625,1.1806486375,平
84,3,3,0.029759325000000003,0.029759325000000003,0.5868095375,0.029759325000000003,平
252,5,25,0.4904432000000002,0.4904432000000002,0.5703876249999996,0.4904432000000002,平
587,12,49,0.5790583124999998,0.5790583124999998,0.5790583124999998,0.8046612999999997,平
542,11,25,0.5907920124999996,0.5907920124999996,0.5907920124999996,0.2758523500000001,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.5889744949999999,0.5950739174999999,0.5066641049999999,0.5395885699999999,0.46662027124999994
策略1胜于策略2:1
策略1平于策略2:7
策略1负于策略2:2
