qos改变了的服务个数,实际需要更新的ws(count==0):的个数,PQ队列的最大长度,策略1(10),策略2(500),重查,连续查询,结果
344,3,4,0.0920897875,0.0920897875,0.5866652499999999,0.0920897875,平
529,16,38,0.5844573249999999,0.5844573249999999,0.5844573249999999,0.6615579999999996,平
840,12,76,0.5771766249999998,0.5771766249999998,0.5771766249999998,1.1898591624999992,平
687,15,77,0.5813248625,0.5813248625,0.5813248625,0.9872317999999997,平
647,11,41,0.5795020375,0.5795020375,0.5795020375,0.5642775250000001,平
853,19,106,0.5793095750000002,0.5793095750000002,0.5793095750000002,1.3622193125000002,平
171,0,0,0.0028278624999999976,0.0028278624999999976,0.5788177499999999,0.0028278624999999976,平
964,21,65,0.5765137875,0.5765137875,0.5765137875,0.9852217374999995,平
246,3,21,0.1622302125,0.1622302125,0.5900489624999998,0.1622302125,平
23,0,0,7.324375000000011E-4,7.324375000000011E-4,0.616087675,7.324375000000011E-4,平
重查平均时间,连续查询平均时间,策略1平均时间,策略2平均时间,最佳策略平均时间
0.584990385,0.6008247837499998,0.37361645125,0.37361645125,0.37209400000000004
策略1胜于策略2:0
策略1平于策略2:10
策略1负于策略2:0
