serv1919605636,2
serv1102597955,0
serv1506289288,0
serv183799811,0
serv120921678,0
serv1850173403,3
serv254870550,3
serv1574082977,0
serv48212395,1
serv1916328586,0
serv1225283306,3
serv1640238160,0
serv119283134,6
serv744173231,6
serv1015348063,0
serv233363609,3
serv1360870722,1
serv1575721521,0
serv2122986741,1
serv393528881,1
serv1018625113,0
serv2058470102,1
serv1935170568,0
serv256509094,0
serv1070647773,0
serv2053554508,0
serv2040036168,0
serv1293691178,0
serv1712947443,3
serv1572444471,0
serv1364147772,0
serv185438317,0
serv949192880,4
serv130956833,1
serv1569167421,0
serv1643515210,0
serv2060108608,1
serv950831424,0
serv325941327,0
serv1435218511,0
serv674740998,0
serv464805793,0
serv739257675,2
serv1223644762,1
serv253232044,1
Provide,35
serv45549528,0
serv1708031887,6
serv461528743,8
serv1711308937,0
serv808689908,0
serv114367578,1
serv1848534859,2
serv600393209,0
serv811966958,0
serv392096510,0
serv1016986607,0
serv1157489579,0
serv393735016,4
serv1436857055,1
serv2056831558,2
serv46573851,0
serv1570805927,0
serv187076861,0
serv1433580005,3
serv603670259,3
serv737619131,3
serv2129540841,0
serv878122141,2
serv1296354045,0
serv1985760819,0
serv598754665,2
serv876483597,0
serv671463948,0
serv466444299,1
serv1503012238,7
serv1084780296,0
serv116006084,0
serv810328414,2
serv669825442,2
serv881399191,5
serv879760647,0
serv327579833,0
serv1365786278,0
serv1990676375,0
serv1089695890,1
serv258147600,6
serv668186898,0
serv188715367,0
serv535876532,0
serv1989037869,0
serv673102492,8
serv1362509228,0
serv1228560356,9
serv1501373694,2
serv1294715539,0
serv1846896353,2
serv1431941461,2
serv2124625285,4
serv532599482,1
serv1297992589,1
serv1499735188,0
serv1641876704,0
serv945915830,0
serv154306361,1
serv1782379676,0
serv813605464,0
serv1159128123,0
serv822616296,1
serv463167249,3
serv1293076995,0
serv1917967092,0
serv1020263657,4
serv807051364,0
serv44935345,7
serv605308765,0
serv324302783,0
serv1086418840,1
serv1638599654,2
serv602031715,1
serv395373560,2
serv1921244142,10
serv1430302955,4
serv1457337543,0
serv1088057346,4
serv883037697,0
serv1155851073,2
serv322664277,1
serv1291438489,2
serv534238026,3
serv1777464120,0
serv740896181,0
serv1046273922,0
serv1780741170,2
serv1779102626,1
serv2126263791,0
serv1154212529,8
serv1987399325,3
serv742534725,0
serv397012066,3
serv2127902335,3
serv530960976,1
serv947554374,4
serv1851811909,0
serv1367424822,0
serv117644628,0
serv1226921812,1
serv51489445,0
serv1504650744,9
serv1709670393,2
serv49850901,7
serv39813616,0
